NEWID,SIZE,SIZEAM,SIZEAF,SIZEJM,SIZEJF,SIZEIN,EXP,FDHO,FDAW,SHEL,TELE,DOM,TEXT,FURN,MAPP,SAPP,CLOT,FOOT,GASO,TRIP,LOCT,HEAL,ENT,FEES,TOYS,READ,EDUC,TOB,REFAGE,REFEDUC,REFRACE,HHTENURE,HHTYPE
645442,1,0,1,0,0,0,8408,1365,288,2310,346,0,0,0,125,0,33,0,390,0,0,464,0,0,0,10,0,26,71,1,1,4,8
645452,2,1,1,0,0,0,36088,3304,552,9161,815,0,489,0,1369,160,5043,62,688,0,0,1157,3638,0,683,33,0,962,55,1,1,1,1
645472,2,0,1,0,1,0,8823,1456,105,6108,202,10,9,0,0,0,148,62,0,0,147,6,0,0,0,11,42,13,47,4,1,4,7
645482,1,0,1,0,0,0,8022,793,37,2834,289,23,0,0,0,0,89,0,740,0,0,848,98,33,45,108,0,0,71,6,1,2,8
645502,2,1,1,0,0,0,36395,2408,380,6319,597,0,35,0,0,75,398,55,680,0,0,1284,515,22,136,100,0,0,28,1,1,4,9
645512,2,1,1,0,0,0,14523,2280,1620,1354,348,0,70,0,500,17,214,8,720,30,0,1830,752,200,0,147,0,0,82,3,1,2,1
645522,3,1,1,0,0,1,49188,3685,3780,11214,761,2284,414,208,0,128,4546,140,1095,186,0,1755,2136,1091,233,339,0,0,27,5,1,1,2
645562,1,0,1,0,0,0,19744,3432,162,2733,332,24,51,0,0,40,918,58,1140,0,0,2756,600,35,241,154,0,52,72,2,1,2,8
645572,2,1,1,0,0,0,17536,845,1800,3475,366,0,0,894,364,26,396,106,675,0,0,3550,378,45,58,97,0,0,75,2,1,1,1
645602,3,1,1,0,1,0,32456,3036,632,5700,342,0,83,0,187,39,810,126,1290,0,0,885,3909,35,2838,559,45,1001,52,3,1,4,7
645622,4,1,1,1,1,0,38400,4640,2598,7832,430,359,87,0,425,26,687,50,1631,637,0,2967,2206,744,367,188,113,0,46,4,1,1,3
645652,1,0,1,0,0,0,6451,2327,30,2130,291,99,26,0,0,8,264,0,0,0,0,598,230,210,5,0,0,0,86,1,4,4,8
645662,4,1,1,1,1,0,31766,3197,550,9212,468,2034,450,528,0,50,967,351,1124,0,411,2042,1897,511,600,103,50,0,31,4,1,1,3
645682,1,0,1,0,0,0,24727,1265,2015,5171,675,45,42,19,0,90,2418,125,690,410,0,823,2219,928,326,178,100,0,29,5,1,4,8
645692,4,1,1,1,1,0,60013,4473,2897,6234,716,1084,110,1575,0,40,2023,0,1116,918,0,636,5728,3852,438,421,327,793,45,6,1,1,3
645712,2,1,1,0,0,0,15664,3744,555,679,1508,0,0,0,0,0,474,0,1320,0,0,42,880,65,75,53,0,78,64,3,2,1,1
645722,1,0,1,0,0,0,17356,845,1779,7037,348,549,0,0,0,0,614,0,405,174,0,1550,115,63,0,204,0,0,76,3,1,2,8
645752,4,2,1,1,0,0,50482,6260,1365,29097,681,30,80,0,0,144,2184,580,1608,626,300,2643,1024,260,0,13,0,0,51,1,1,1,3
645762,1,1,0,0,0,0,20752,3783,445,5700,353,0,30,0,700,38,711,231,1867,0,0,37,2478,32,500,124,562,130,37,4,1,5,8
645772,6,1,1,1,3,0,28048,7709,477,10650,1133,174,49,290,0,0,1165,30,1172,0,0,1269,299,10,4,15,0,0,38,2,1,4,3
645782,1,0,1,0,0,0,10932,1885,324,450,454,0,91,392,90,136,594,86,168,0,0,857,1764,0,818,156,0,767,61,2,1,2,8
645792,5,1,1,1,1,1,35337,2869,260,7127,464,0,0,0,0,0,1336,46,459,0,0,3407,1854,181,1253,50,24,0,31,4,1,1,3
645802,2,2,0,0,0,0,18755,2091,210,7702,1430,0,10,0,187,0,571,0,925,200,0,0,432,10,50,0,0,0,26,3,1,5,9
645812,2,0,1,1,0,0,6572,2366,105,681,454,0,0,0,0,0,382,54,250,0,0,0,570,8,0,0,75,0,28,4,2,4,7
645822,1,0,1,0,0,0,16065,2300,245,5457,315,26,0,0,0,0,1006,47,0,128,84,4508,332,32,0,163,0,0,70,3,1,4,8
645862,3,2,1,0,0,0,67257,8073,2090,11787,673,3363,1632,3223,538,78,1358,123,1996,0,0,9693,6215,5135,0,375,260,0,67,3,1,1,4
645882,1,0,1,0,0,0,36303,2499,880,10763,912,150,671,344,0,91,1809,235,390,435,6,2368,519,246,87,106,0,520,51,6,1,1,8
645902,2,1,1,0,0,0,14846,4498,375,2100,480,0,0,0,0,0,0,0,380,0,100,3181,154,154,0,192,0,0,77,6,1,2,1
645922,7,1,1,2,3,0,50468,6171,1253,10424,594,420,186,1074,0,348,3703,498,2792,0,0,9205,3667,1478,538,446,426,0,39,4,1,1,3
645962,2,1,1,0,0,0,27237,2860,503,10085,477,30,16,111,0,39,480,38,660,5,0,2947,211,69,38,145,0,0,58,6,1,1,1
645992,1,1,0,0,0,0,7165,2119,561,1300,300,0,0,0,0,0,0,0,0,0,378,538,0,0,0,15,0,286,75,2,1,2,8
